target,value,source
hillary,433,berniesanders
cnn,373,berniesanders
whoa,339,berniesanders
revolution,321,berniesanders
people,319,berniesanders
vote,297,berniesanders
democratic,275,berniesanders
socialist,264,berniesanders
wall,213,berniesanders
support,211,berniesanders
time,196,berniesanders
#cnndebate,189,berniesanders
#hillaryclinton,189,berniesanders
congress,185,berniesanders
socialism,178,berniesanders
#hillaryclinton,2420,cnndebate
realdonaldtrump,1823,cnndebate
benghazi,1102,cnndebate
hillaryemail,958,cnndebate
libya,947,cnndebate
bury,946,cnndebate
bernie,943,cnndebate
#donaldtrump,836,cnndebate
#berniesanders,833,cnndebate
martinomalley,456,cnndebate
achievement,310,cnndebate
democrats,250,cnndebate
losers,240,cnndebate
debates,235,cnndebate
president,235,cnndebate
gop,233,cnndebate
dncdebate,212,cnndebate
trophy,207,cnndebate
demdebate,1045,democrat
gop,247,democrat
obama,246,democrat
republicans,245,democrat
#hillaryclinton,181,democrat
america,168,democrat
vote,164,democrat
uniteblue,162,democrat
#donaldtrump,157,democrat
#berniesanders,152,democrat
#cnndebate,138,democrat
obama,315,donaldtrump
makeamericagreatagain,301,donaldtrump
democraticdebate,279,donaldtrump
snl,238,donaldtrump
backtoback,205,donaldtrump
live,186,donaldtrump
cnn,166,donaldtrump
democratic,108,donaldtrump
#berniesanders,1053,hillaryclinton
benghazi,342,hillaryclinton
president,283,hillaryclinton
good,277,hillaryclinton
#cnndebate,250,hillaryclinton
woman,250,hillaryclinton
equalpay,242,hillaryclinton
obama,241,hillaryclinton
democratic,231,hillaryclinton
people,220,hillaryclinton
email,298,hillaryclinton
demdebate,260,joebiden
cnn,103,joebiden
cnn,103,joebiden
